"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2021-01-26T22:30:57.536+01:00[Europe/Paris]","0.0","0.61"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2021-01-26T22:30:58.671+01:00[Europe/Paris]","0.0","8.97"
"First serenity test","This isa failing","IGNORED","2021-01-26T22:31:07.646+01:00[Europe/Paris]","0.0","0.94"
"First serenity test","Get all students","SUCCESS","2021-01-26T22:31:08.597+01:00[Europe/Paris]","0.0","0.51"
"Students CRUD test","This test will create a new student","SUCCESS","2021-01-26T22:30:57.621+01:00[Europe/Paris]","0.0","10.86"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2021-01-26T22:31:09.183+01:00[Europe/Paris]","0.0","1.31"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2021-01-26T22:31:10.501+01:00[Europe/Paris]","0.0","0.89"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2021-01-26T22:31:11.396+01:00[Europe/Paris]","0.0","0.28"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","IGNORED","2021-01-26T22:31:15.148+01:00[Europe/Paris]","0.0","1.09"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2021-01-26T22:31:17+01:00[Europe/Paris]","0.0","7.4"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","SUCCESS","2021-01-26T22:31:29.906+01:00[Europe/Paris]","0.0","36.42"
